2026-09-18 08:10:04.591 +03:00 [INF] Now listening on: https://localhost:7015
2026-09-18 08:10:04.644 +03:00 [INF] Now listening on: http://localhost:5070
2026-09-18 08:10:04.654 +03:00 [INF] Application started. Press Ctrl+C to shut down.
2026-09-18 08:18:12.808 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 6 ms (User: anonim, IP: ::1)
2026-09-18 08:33:52.956 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 24 ms (User: anonim, IP: ::1)
2026-09-18 08:33:52.964 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 5 ms (User: anonim, IP: ::1)
2026-09-18 08:33:53.939 +03:00 [INF] HTTP OPTIONS /api/scenarios/list responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 08:33:53.951 +03:00 [INF] HTTP OPTIONS /api/scenarios/list responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 08:33:53.965 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 5 ms (User: 15, IP: ::1)
2026-09-18 08:33:53.979 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 5 ms (User: 15, IP: ::1)
2026-09-18 08:33:55.781 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 5 ms (User: anonim, IP: ::1)
2026-09-18 08:33:55.786 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:33:56.802 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 4 ms (User: 15, IP: ::1)
2026-09-18 08:33:56.809 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 4 ms (User: 15, IP: ::1)
2026-09-18 08:36:21.687 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 5 ms (User: anonim, IP: ::1)
2026-09-18 08:36:21.693 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:36:28.034 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:36:28.039 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 5 ms (User: anonim, IP: ::1)
2026-09-18 08:36:32.029 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:36:32.035 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:36:47.650 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 6 ms (User: anonim, IP: ::1)
2026-09-18 08:36:47.655 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:36:53.560 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:36:53.565 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:42:30.822 +03:00 [INF] HTTP OPTIONS /api/resources/videos responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 08:42:30.831 +03:00 [INF] HTTP OPTIONS /api/resources/pdfs responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 08:42:30.843 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 73 ms (User: anonim, IP: ::1)
2026-09-18 08:42:30.843 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 73 ms (User: anonim, IP: ::1)
2026-09-18 08:42:30.845 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 5 ms (User: 15, IP: ::1)
2026-09-18 08:42:30.855 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 3 ms (User: 15, IP: ::1)
2026-09-18 08:43:19.936 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:43:19.937 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:43:19.941 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:43:19.941 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:43:19.952 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 18 ms (User: anonim, IP: ::1)
2026-09-18 08:43:19.956 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:43:21.112 +03:00 [INF] HTTP OPTIONS /api/resources/videos responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 08:43:21.120 +03:00 [INF] HTTP OPTIONS /api/resources/pdfs responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 08:43:21.130 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 4 ms (User: 15, IP: ::1)
2026-09-18 08:43:21.139 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 3 ms (User: 15, IP: ::1)
2026-09-18 08:43:21.130 +03:00 [INF] HTTP OPTIONS /api/scenarios/list responded 204 in 0 ms (User: anonim, IP: ::1)
2026-09-18 08:43:21.144 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 3 ms (User: 15, IP: ::1)
2026-09-18 08:43:21.158 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 3 ms (User: 15, IP: ::1)
2026-09-18 08:43:21.168 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 4 ms (User: 15, IP: ::1)
2026-09-18 08:43:21.173 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: 15, IP: ::1)
2026-09-18 08:43:21.915 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:43:21.915 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 2 ms (User: anonim, IP: ::1)
2026-09-18 08:43:21.917 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:43:21.921 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:43:21.921 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:43:21.923 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:43:22.849 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 4 ms (User: 15, IP: ::1)
2026-09-18 08:43:22.859 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 3 ms (User: 15, IP: ::1)
2026-09-18 08:43:22.871 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: 15, IP: ::1)
2026-09-18 08:43:22.879 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 3 ms (User: 15, IP: ::1)
2026-09-18 08:43:22.889 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 3 ms (User: 15, IP: ::1)
2026-09-18 08:43:22.905 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: 15, IP: ::1)
2026-09-18 08:43:24.917 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:43:24.917 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:43:24.917 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:43:24.921 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:43:24.924 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:43:24.926 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:43:25.778 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 4 ms (User: 15, IP: ::1)
2026-09-18 08:43:25.787 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 3 ms (User: 15, IP: ::1)
2026-09-18 08:43:25.800 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: 15, IP: ::1)
2026-09-18 08:43:25.809 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 4 ms (User: 15, IP: ::1)
2026-09-18 08:43:25.821 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 3 ms (User: 15, IP: ::1)
2026-09-18 08:43:25.830 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 4 ms (User: 15, IP: ::1)
2026-09-18 08:43:57.541 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:43:57.541 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:43:57.542 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:43:57.546 +03:00 [INF] HTTP GET /api/scenarios/list responded 200 in 4 ms (User: anonim, IP: ::1)
2026-09-18 08:43:57.546 +03:00 [INF] HTTP GET /api/resources/pdfs responded 200 in 3 ms (User: anonim, IP: ::1)
2026-09-18 08:43:57.546 +03:00 [INF] HTTP GET /api/resources/videos responded 200 in 3 ms (User: anonim, IP: ::1)
